iter	Passed	Remaining
0	1	140
1	2	123
2	3	119
3	4	109
4	5	108
5	6	107
6	8	108
7	9	107
8	10	106
9	11	104
10	12	102
11	13	100
12	14	98
13	15	97
14	16	95
15	17	94
16	19	92
17	20	91
18	21	90
19	22	89
20	23	88
21	24	86
22	25	85
23	26	84
24	27	83
25	28	82
26	30	81
27	31	80
28	32	79
29	33	77
30	34	76
31	36	76
32	37	75
33	38	74
34	39	73
35	40	72
36	41	71
37	42	69
38	43	68
39	45	67
40	46	66
41	46	64
42	47	63
43	48	62
44	50	61
45	51	59
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	64	44
59	65	43
60	66	42
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	75	35
68	76	34
69	77	33
70	79	32
71	80	31
72	81	30
73	82	29
74	84	28
75	85	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	93	19
83	94	17
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
