iter	Passed	Remaining
0	152	152442
1	153	76791
2	155	51647
3	157	39170
4	158	31531
5	159	26428
6	160	22782
7	161	20049
8	163	17981
9	164	16284
10	165	14887
11	166	13723
12	167	12736
13	169	11905
14	170	11178
15	171	10537
16	172	9971
17	173	9465
18	174	9013
19	175	8605
20	176	8249
21	178	7921
22	179	7615
23	180	7344
24	182	7102
25	184	6917
26	186	6704
27	187	6498
28	188	6306
29	189	6125
30	190	5966
31	192	5815
32	193	5670
33	194	5532
34	195	5399
35	197	5276
36	198	5160
37	199	5060
38	201	4960
39	202	4860
40	203	4768
41	207	4727
42	208	4648
43	210	4571
44	215	4569
45	216	4494
46	218	4423
47	219	4355
48	221	4307
49	223	4248
50	225	4188
51	226	4129
52	227	4070
53	229	4015
54	230	3962
55	231	3910
56	233	3861
57	234	3816
58	236	3769
59	237	3724
60	239	3679
61	240	3643
62	242	3603
63	243	3564
64	245	3525
65	246	3486
66	247	3448
67	248	3412
68	250	3375
69	251	3341
70	252	3307
71	254	3275
72	256	3253
73	257	3225
74	259	3195
75	260	3165
76	261	3134
77	262	3107
78	264	3087
79	266	3060
80	267	3033
81	268	3005
82	269	2972
83	270	2950
84	272	2928
85	273	2907
86	275	2886
87	276	2865
88	277	2845
89	279	2824
90	280	2804
91	282	2784
92	283	2767
93	285	2752
94	287	2734
95	288	2716
96	289	2698
97	291	2680
98	292	2664
99	294	2646
100	295	2628
101	296	2612
102	298	2596
103	299	2583
104	301	2568
105	302	2555
106	304	2540
107	305	2525
108	307	2511
109	308	2497
110	310	2483
111	311	2471
112	313	2458
113	314	2444
114	316	2432
115	317	2420
116	318	2405
117	320	2393
118	321	2381
119	323	2370
120	324	2360
121	326	2346
122	327	2334
123	328	2323
124	330	2311
125	331	2302
126	333	2289
127	334	2278
128	335	2268
129	337	2258
130	338	2248
131	340	2238
132	341	2228
133	343	2220
134	345	2211
135	346	2202
136	347	2192
137	349	2181
138	350	2173
139	352	2164
140	353	2156
141	354	2143
142	356	2133
143	357	2123
144	358	2115
145	360	2107
146	361	2098
147	363	2091
148	364	2082
149	366	2075
150	367	2066
151	368	2058
152	370	2050
153	371	2042
154	373	2038
155	375	2030
156	376	2020
157	377	2012
158	379	2006
159	380	1999
160	381	1989
161	383	1982
162	384	1974
163	385	1967
164	387	1960
165	388	1953
166	390	1949
167	392	1943
168	393	1936
169	395	1930
170	396	1923
171	398	1917
172	399	1911
173	401	1906
174	403	1902
175	405	1897
176	407	1892
177	408	1885
178	410	1880
179	411	1874
180	412	1868
181	414	1862
182	415	1856
183	417	1850
184	418	1844
185	419	1837
186	421	1831
187	422	1824
188	423	1818
189	425	1813
190	427	1810
191	428	1804
192	430	1798
193	431	1793
194	433	1788
195	437	1794
196	439	1790
197	440	1785
198	442	1780
199	443	1775
200	445	1770
201	447	1765
202	448	1760
203	449	1755
204	451	1750
205	452	1745
206	454	1739
207	455	1734
208	457	1731
209	458	1726
210	460	1721
211	461	1716
212	464	1717
213	466	1712
214	467	1707
215	469	1704
216	471	1699
217	472	1695
218	474	1691
219	475	1687
220	477	1682
221	479	1679
222	480	1674
223	485	1681
224	487	1677
225	488	1674
226	490	1670
227	492	1668
228	494	1664
229	496	1661
230	498	1658
231	500	1655
232	501	1651
233	503	1647
234	508	1654
235	510	1652
236	512	1650
237	514	1647
238	517	1646
239	518	1642
240	520	1638
241	522	1635
242	523	1630
243	524	1626
244	526	1622
245	527	1617
246	529	1613
247	530	1609
248	532	1605
249	533	1601
250	535	1596
251	536	1592
252	537	1587
253	539	1583
254	540	1579
255	541	1574
256	543	1571
257	544	1567
258	546	1563
259	547	1558
260	549	1554
261	550	1550
262	552	1547
263	553	1544
264	555	1540
265	557	1537
266	559	1535
267	560	1531
268	562	1527
269	563	1523
270	565	1520
271	566	1515
272	567	1511
273	568	1507
274	570	1503
275	571	1499
276	572	1495
277	574	1491
278	575	1487
279	577	1483
280	578	1480
281	579	1476
282	581	1473
283	582	1469
284	584	1465
285	587	1466
286	588	1463
287	590	1460
288	592	1457
289	594	1454
290	595	1451
291	597	1448
292	598	1444
293	600	1441
294	601	1438
295	603	1435
296	604	1431
297	606	1428
298	607	1425
299	609	1421
300	610	1418
301	612	1414
302	613	1410
303	614	1407
304	615	1403
305	617	1400
306	618	1396
307	619	1392
308	621	1389
309	622	1386
310	624	1384
311	626	1380
312	627	1377
313	628	1373
314	630	1370
315	631	1367
316	634	1367
317	635	1363
318	637	1360
319	638	1357
320	639	1353
321	641	1350
322	642	1346
323	644	1343
324	645	1340
325	646	1337
326	648	1333
327	649	1330
328	650	1327
329	652	1324
330	653	1320
331	654	1317
332	655	1313
333	657	1310
334	658	1306
335	659	1303
336	660	1300
337	662	1296
338	663	1294
339	665	1291
340	666	1287
341	667	1284
342	669	1281
343	670	1278
344	671	1275
345	673	1272
346	674	1269
347	676	1266
348	677	1263
349	678	1260
350	680	1257
351	681	1254
352	682	1251
353	683	1247
354	685	1244
355	686	1241
356	687	1238
357	688	1235
358	690	1232
359	691	1229
360	692	1226
361	694	1223
362	695	1220
363	697	1217
364	700	1217
365	701	1215
366	703	1213
367	704	1210
368	706	1207
369	708	1205
370	709	1202
371	712	1202
372	713	1199
373	715	1197
374	716	1194
375	718	1191
376	719	1189
377	721	1187
378	723	1185
379	724	1182
380	726	1179
381	727	1177
382	729	1174
383	730	1172
384	732	1169
385	734	1167
386	735	1165
387	737	1163
388	739	1160
389	740	1158
390	741	1155
391	743	1153
392	744	1150
393	746	1147
394	747	1145
395	749	1142
396	750	1139
397	751	1137
398	753	1134
399	754	1131
400	755	1129
401	757	1126
402	758	1123
403	759	1120
404	761	1118
405	762	1115
406	763	1112
407	765	1110
408	766	1107
409	767	1104
410	769	1102
411	770	1099
412	772	1097
413	773	1094
414	774	1092
415	776	1089
416	777	1087
417	779	1085
418	780	1082
419	782	1079
420	783	1077
421	785	1075
422	788	1075
423	790	1073
424	794	1074
425	797	1073
426	798	1071
427	800	1069
428	801	1067
429	803	1065
430	805	1063
431	809	1063
432	811	1061
433	812	1059
434	814	1057
435	815	1055
436	817	1052
437	818	1050
438	820	1047
439	821	1045
440	824	1045
441	826	1043
442	831	1045
443	833	1043
444	834	1041
445	836	1038
446	837	1036
447	840	1036
448	842	1033
449	843	1031
450	845	1028
451	846	1025
452	847	1023
453	850	1022
454	852	1021
455	853	1018
456	855	1016
457	856	1013
458	857	1010
459	858	1008
